#install prob r_soc r_katz r_deg 
0.0500 0.0100 0.9008 0.7699 0.8496
0.1000 0.0100 0.9744 0.9729 0.9774
0.2000 0.0100 0.9248 0.8932 0.9549
0.4000 0.0100 0.9805 0.9774 0.9789
0.0500 0.0200 0.9353 0.9323 0.9188
0.1000 0.0200 0.9669 0.9729 0.9323
0.2000 0.0200 0.9910 0.9774 0.9534
0.4000 0.0200 0.9744 0.9639 0.9639
0.0500 0.0400 0.9474 0.9669 0.9323
0.1000 0.0400 0.9789 0.9970 0.9579
0.2000 0.0400 0.9474 0.8827 0.7579
0.4000 0.0400 0.9789 0.9504 0.7820
0.0500 0.0800 0.9789 0.9579 0.8105
0.1000 0.0800 0.9383 0.9353 0.8977
0.2000 0.0800 0.8887 0.8451 0.7429
0.4000 0.0800 0.8271 0.8045 0.6466
0.0500 0.1000 0.8556 0.8451 0.7805
0.1000 0.1000 0.8707 0.8075 0.6917
0.2000 0.1000 0.8722 0.8451 0.5383
0.4000 0.1000 0.7714 0.7669 0.6692
0.0500 0.2000 0.8241 0.7143 0.5639
